Date,Day,Name,Hours,Role,Rate,Total,Tips
5/20/2022,Fri,Alex,6,Server,10,60,57
5/20/2022,Fri,Kevin,6,Server,10,60,17
5/21/2022,Sat,Kevin,7,Server,10,70,32.66666667
5/21/2022,Sat,Alex,9,Server,10,90,67.66666667
5/22/2022,Sun,Sally,7,Server,10,70,24
5/22/2022,Sun,Alex,6,Server,10,60,46
5/23/2022,Mon,Alex,8,Server,10,80,33.33333333
5/23/2022,Mon,Sally,7,Server,10,70,47
5/24/2022,Tue,Amy,6,Server,10,60,49.66666667
5/24/2022,Tue,Sally,7,Server,10,70,66.33333333
5/25/2022,Wed,John,8,Server,10,80,30.66666667
5/25/2022,Wed,Alex,9,Server,10,90,31.66666667
5/26/2022,Thu,John,6,Server,10,60,37.33333333
5/26/2022,Thu,Sally,8,Server,10,80,62.66666667
5/27/2022,Fri,Alex,7,Server,10,70,34.33333333
5/27/2022,Fri,Sally,8,Server,10,80,22.66666667
5/28/2022,Sat,Kevin,6,Server,10,60,0.666666667
5/28/2022,Sat,John,9,Server,10,90,35
5/29/2022,Sun,Alex,7,Server,10,70,50.66666667
5/29/2022,Sun,Kevin,6,Server,10,60,50.33333333
5/30/2022,Mon,Sally,6,Server,10,60,28
5/30/2022,Mon,Amy,8,Server,10,80,50.66666667
5/31/2022,Tue,John,7,Server,10,70,1.666666667
5/31/2022,Tue,Alex,9,Server,10,90,4.666666667
6/1/2022,Wed,John,7,Server,10,70,7
6/1/2022,Wed,Amy,8,Server,10,80,29
6/2/2022,Thu,John,9,Server,10,90,26.66666667
6/2/2022,Thu,Amy,9,Server,10,90,7.666666667
,,,,,,,
,,,,,,,
