Date,Day,Name,Hours,Role,Rate,Total,Tips
9/9/2022,Fri,John,6,Server,10,60,14
9/9/2022,Fri,Amy,9,Server,10,90,9.666666667
9/10/2022,Sat,Sally,6,Server,10,60,51
9/10/2022,Sat,Sally,6,Server,10,60,57.66666667
9/11/2022,Sun,Amy,6,Server,10,60,24.66666667
9/11/2022,Sun,Alex,8,Server,10,80,8
9/12/2022,Mon,Sally,7,Server,10,70,46
9/12/2022,Mon,Amy,8,Server,10,80,44
9/13/2022,Tue,Alex,8,Server,10,80,26.66666667
9/13/2022,Tue,John,9,Server,10,90,68.66666667
9/14/2022,Wed,Sally,9,Server,10,90,7
9/14/2022,Wed,Sally,6,Server,10,60,48.33333333
9/15/2022,Thu,Amy,8,Server,10,80,64.33333333
9/15/2022,Thu,Amy,8,Server,10,80,54.33333333
9/16/2022,Fri,Sally,6,Server,10,60,39.66666667
9/16/2022,Fri,John,8,Server,10,80,46
9/17/2022,Sat,Sally,7,Server,10,70,70
9/17/2022,Sat,Sally,6,Server,10,60,11
9/18/2022,Sun,John,7,Server,10,70,66
9/18/2022,Sun,Amy,8,Server,10,80,50
9/19/2022,Mon,John,7,Server,10,70,47.33333333
9/19/2022,Mon,Sally,8,Server,10,80,17.66666667
9/20/2022,Tue,Alex,6,Server,10,60,28.66666667
9/20/2022,Tue,Kevin,7,Server,10,70,23.66666667
9/21/2022,Wed,Kevin,8,Server,10,80,34.66666667
9/21/2022,Wed,Amy,9,Server,10,90,48
9/22/2022,Thu,Kevin,9,Server,10,90,22.66666667
9/22/2022,Thu,Sally,7,Server,10,70,17
,,,,,,,
,,,,,,,
