Date,Day,Name,Hours,Role,Rate,Total,Tips
6/3/2022,Fri,Alex,7,Server,10,70,8
6/3/2022,Fri,Alex,9,Server,10,90,22
6/4/2022,Sat,Sally,8,Server,10,80,27.33333333
6/4/2022,Sat,Sally,6,Server,10,60,62.66666667
6/5/2022,Sun,Sally,6,Server,10,60,32.33333333
6/5/2022,Sun,Sally,7,Server,10,70,17.66666667
6/6/2022,Mon,Amy,9,Server,10,90,66.33333333
6/6/2022,Mon,John,7,Server,10,70,63.33333333
6/7/2022,Tue,Sally,6,Server,10,60,67.33333333
6/7/2022,Tue,Amy,8,Server,10,80,63
6/8/2022,Wed,Alex,8,Server,10,80,2
6/8/2022,Wed,Amy,8,Server,10,80,31
6/9/2022,Thu,Sally,7,Server,10,70,28.66666667
6/9/2022,Thu,Sally,6,Server,10,60,25.33333333
6/10/2022,Fri,Sally,6,Server,10,60,0
6/10/2022,Fri,John,8,Server,10,80,36.66666667
6/11/2022,Sat,Alex,8,Server,10,80,24.33333333
6/11/2022,Sat,Kevin,7,Server,10,70,9
6/12/2022,Sun,Amy,8,Server,10,80,12
6/12/2022,Sun,Kevin,7,Server,10,70,60.66666667
6/13/2022,Mon,Sally,9,Server,10,90,48.66666667
6/13/2022,Mon,Kevin,6,Server,10,60,29.66666667
6/14/2022,Tue,John,9,Server,10,90,46.33333333
6/14/2022,Tue,Kevin,6,Server,10,60,69
6/15/2022,Wed,Amy,7,Server,10,70,15
6/15/2022,Wed,John,6,Server,10,60,0
6/16/2022,Thu,Sally,6,Server,10,60,15.66666667
6/16/2022,Thu,Kevin,6,Server,10,60,16.66666667
,,,,,,,
,,,,,,,
