Date,Day,Name,Hours,Role,Rate,Total,Tips
7/1/2022,Fri,John,7,Server,10,70,57.33333333
7/1/2022,Fri,Alex,7,Server,10,70,36.66666667
7/2/2022,Sat,Amy,6,Server,10,60,26
7/2/2022,Sat,John,8,Server,10,80,17
7/3/2022,Sun,Kevin,8,Server,10,80,36.33333333
7/3/2022,Sun,Alex,7,Server,10,70,30.66666667
7/4/2022,Mon,Sally,8,Server,10,80,47.33333333
7/4/2022,Mon,Alex,8,Server,10,80,39.66666667
7/5/2022,Tue,Amy,7,Server,10,70,6
7/5/2022,Tue,John,9,Server,10,90,10
7/6/2022,Wed,Amy,6,Server,10,60,50.33333333
7/6/2022,Wed,John,6,Server,10,60,19
7/7/2022,Thu,Sally,7,Server,10,70,1
7/7/2022,Thu,John,6,Server,10,60,63.33333333
7/8/2022,Fri,Amy,9,Server,10,90,12.33333333
7/8/2022,Fri,Amy,7,Server,10,70,37
7/9/2022,Sat,Kevin,6,Server,10,60,40.66666667
7/9/2022,Sat,Alex,8,Server,10,80,46.33333333
7/10/2022,Sun,John,6,Server,10,60,56.66666667
7/10/2022,Sun,Alex,7,Server,10,70,23.33333333
7/11/2022,Mon,Amy,6,Server,10,60,17.66666667
7/11/2022,Mon,Sally,6,Server,10,60,8
7/12/2022,Tue,Alex,8,Server,10,80,37.66666667
7/12/2022,Tue,Kevin,9,Server,10,90,34.33333333
7/13/2022,Wed,Sally,9,Server,10,90,23.66666667
7/13/2022,Wed,Amy,7,Server,10,70,36.66666667
7/14/2022,Thu,Sally,7,Server,10,70,29.33333333
7/14/2022,Thu,Alex,9,Server,10,90,35.33333333
,,,,,,,
,,,,,,,
