Date,Day,Name,Hours,Role,Rate,Total,Tips
10/21/2022,Fri,Amy,8,Server,10,80,10
10/21/2022,Fri,John,7,Server,10,70,49.66666667
10/22/2022,Sat,Amy,6,Server,10,60,46.66666667
10/22/2022,Sat,Kevin,6,Server,10,60,3.666666667
10/23/2022,Sun,Sally,8,Server,10,80,53.66666667
10/23/2022,Sun,John,9,Server,10,90,34.66666667
10/24/2022,Mon,Sally,9,Server,10,90,48.66666667
10/24/2022,Mon,John,7,Server,10,70,26.33333333
10/25/2022,Tue,Amy,9,Server,10,90,39.66666667
10/25/2022,Tue,Amy,9,Server,10,90,17
10/26/2022,Wed,Amy,8,Server,10,80,9.666666667
10/26/2022,Wed,Amy,9,Server,10,90,59.33333333
10/27/2022,Thu,Alex,6,Server,10,60,37.33333333
10/27/2022,Thu,Sally,7,Server,10,70,58.33333333
10/28/2022,Fri,Alex,6,Server,10,60,37
10/28/2022,Fri,Amy,6,Server,10,60,45.66666667
10/29/2022,Sat,Alex,7,Server,10,70,18.66666667
10/29/2022,Sat,John,7,Server,10,70,17
10/30/2022,Sun,Kevin,6,Server,10,60,38.66666667
10/30/2022,Sun,Amy,9,Server,10,90,60.66666667
10/31/2022,Mon,John,6,Server,10,60,59.66666667
10/31/2022,Mon,John,9,Server,10,90,21.33333333
11/1/2022,Tue,Kevin,7,Server,10,70,19.33333333
11/1/2022,Tue,Kevin,6,Server,10,60,2
11/2/2022,Wed,Amy,9,Server,10,90,51.66666667
11/2/2022,Wed,Alex,7,Server,10,70,3
11/3/2022,Thu,John,8,Server,10,80,55
11/3/2022,Thu,Kevin,7,Server,10,70,60.66666667
,,,,,,,
,,,,,,,
