Date,Day,Name,Hours,Role,Rate,Total,Tips
1/29/2021,Fri,John,6,Server,10,60,67.33333333
1/29/2021,Fri,Kevin,6,Server,10,60,66
1/30/2021,Sat,Amy,9,Server,10,90,61.33333333
1/30/2021,Sat,Amy,9,Server,10,90,23.33333333
1/31/2021,Sun,Sally,8,Server,10,80,35
1/31/2021,Sun,Alex,6,Server,10,60,15.66666667
2/1/2021,Mon,Amy,7,Server,10,70,17
2/1/2021,Mon,Sally,7,Server,10,70,46
2/2/2021,Tue,Kevin,7,Server,10,70,46
2/2/2021,Tue,Amy,6,Server,10,60,24.66666667
2/3/2021,Wed,Kevin,6,Server,10,60,53.33333333
2/3/2021,Wed,Alex,9,Server,10,90,42.66666667
2/4/2021,Thu,Kevin,8,Server,10,80,15
2/4/2021,Thu,John,8,Server,10,80,51.33333333
2/5/2021,Fri,Kevin,7,Server,10,70,20.66666667
2/5/2021,Fri,John,7,Server,10,70,15.66666667
2/6/2021,Sat,Kevin,9,Server,10,90,20.33333333
2/6/2021,Sat,Sally,7,Server,10,70,51.66666667
2/7/2021,Sun,John,8,Server,10,80,3.333333333
2/7/2021,Sun,Alex,9,Server,10,90,51
2/8/2021,Mon,Kevin,6,Server,10,60,32.33333333
2/8/2021,Mon,Amy,6,Server,10,60,4.666666667
2/9/2021,Tue,Kevin,8,Server,10,80,5.666666667
2/9/2021,Tue,Amy,6,Server,10,60,1.333333333
2/10/2021,Wed,Alex,8,Server,10,80,21.66666667
2/10/2021,Wed,Alex,9,Server,10,90,50.66666667
2/11/2021,Thu,Alex,7,Server,10,70,63
2/11/2021,Thu,John,8,Server,10,80,51
,,,,,,,
,,,,,,,
