Date,Day,Name,Hours,Role,Rate,Total,Tips
3/11/2022,Fri,John,8,Server,10,80,68.33333333
3/11/2022,Fri,Alex,7,Server,10,70,29.66666667
3/12/2022,Sat,Kevin,7,Server,10,70,54
3/12/2022,Sat,Amy,6,Server,10,60,8.333333333
3/13/2022,Sun,Amy,7,Server,10,70,41.66666667
3/13/2022,Sun,Alex,9,Server,10,90,56.33333333
3/14/2022,Mon,Amy,9,Server,10,90,37
3/14/2022,Mon,John,7,Server,10,70,46.33333333
3/15/2022,Tue,Alex,9,Server,10,90,5.333333333
3/15/2022,Tue,Alex,6,Server,10,60,30
3/16/2022,Wed,John,6,Server,10,60,48.66666667
3/16/2022,Wed,Kevin,6,Server,10,60,56.66666667
3/17/2022,Thu,Kevin,7,Server,10,70,65
3/17/2022,Thu,Alex,9,Server,10,90,49.33333333
3/18/2022,Fri,Amy,7,Server,10,70,2.333333333
3/18/2022,Fri,John,7,Server,10,70,28.33333333
3/19/2022,Sat,John,9,Server,10,90,67.66666667
3/19/2022,Sat,John,9,Server,10,90,69
3/20/2022,Sun,Sally,8,Server,10,80,10
3/20/2022,Sun,Kevin,6,Server,10,60,69.66666667
3/21/2022,Mon,John,7,Server,10,70,30.66666667
3/21/2022,Mon,Kevin,9,Server,10,90,59.66666667
3/22/2022,Tue,Alex,8,Server,10,80,44
3/22/2022,Tue,Alex,7,Server,10,70,20
3/23/2022,Wed,Amy,7,Server,10,70,57.66666667
3/23/2022,Wed,Sally,7,Server,10,70,59.33333333
3/24/2022,Thu,Alex,9,Server,10,90,5.666666667
3/24/2022,Thu,Kevin,8,Server,10,80,15
,,,,,,,
,,,,,,,
