Date,Day,Name,Hours,Role,Rate,Total,Tips
2/26/2021,Fri,Amy,9,Server,10,90,17.33333333
2/26/2021,Fri,John,9,Server,10,90,54
2/27/2021,Sat,Amy,7,Server,10,70,24.66666667
2/27/2021,Sat,Amy,6,Server,10,60,67.33333333
2/28/2021,Sun,John,8,Server,10,80,15
2/28/2021,Sun,John,7,Server,10,70,62.33333333
3/1/2021,Mon,Kevin,8,Server,10,80,23.33333333
3/1/2021,Mon,Sally,6,Server,10,60,21.66666667
3/2/2021,Tue,Kevin,9,Server,10,90,69.66666667
3/2/2021,Tue,Kevin,7,Server,10,70,40
3/3/2021,Wed,John,9,Server,10,90,19.66666667
3/3/2021,Wed,Alex,8,Server,10,80,37.66666667
3/4/2021,Thu,Alex,6,Server,10,60,36
3/4/2021,Thu,Sally,6,Server,10,60,57.33333333
3/5/2021,Fri,Kevin,8,Server,10,80,38
3/5/2021,Fri,Sally,7,Server,10,70,40.33333333
3/6/2021,Sat,Alex,6,Server,10,60,27
3/6/2021,Sat,Sally,7,Server,10,70,56
3/7/2021,Sun,John,6,Server,10,60,44.66666667
3/7/2021,Sun,John,6,Server,10,60,61.33333333
3/8/2021,Mon,Alex,7,Server,10,70,42.33333333
3/8/2021,Mon,John,9,Server,10,90,24
3/9/2021,Tue,Kevin,8,Server,10,80,6
3/9/2021,Tue,John,7,Server,10,70,24.66666667
3/10/2021,Wed,Kevin,7,Server,10,70,69.66666667
3/10/2021,Wed,Sally,8,Server,10,80,67.66666667
3/11/2021,Thu,John,6,Server,10,60,36.33333333
3/11/2021,Thu,Sally,8,Server,10,80,64
,,,,,,,
,,,,,,,
