Date,Day,Name,Hours,Role,Rate,Total,Tips
6/4/2021,Fri,Amy,6,Server,10,60,8
6/4/2021,Fri,Alex,6,Server,10,60,2
6/5/2021,Sat,Kevin,8,Server,10,80,60.66666667
6/5/2021,Sat,Alex,6,Server,10,60,21
6/6/2021,Sun,Sally,6,Server,10,60,6
6/6/2021,Sun,Alex,9,Server,10,90,23.66666667
6/7/2021,Mon,John,7,Server,10,70,49
6/7/2021,Mon,Alex,6,Server,10,60,15.33333333
6/8/2021,Tue,Alex,6,Server,10,60,1.666666667
6/8/2021,Tue,John,8,Server,10,80,4.666666667
6/9/2021,Wed,John,8,Server,10,80,46
6/9/2021,Wed,Amy,8,Server,10,80,30.66666667
6/10/2021,Thu,Alex,9,Server,10,90,7.666666667
6/10/2021,Thu,John,8,Server,10,80,53
6/11/2021,Fri,John,9,Server,10,90,8.333333333
6/11/2021,Fri,Kevin,7,Server,10,70,30
6/12/2021,Sat,John,6,Server,10,60,2.666666667
6/12/2021,Sat,John,6,Server,10,60,66.33333333
6/13/2021,Sun,Alex,7,Server,10,70,7.666666667
6/13/2021,Sun,Alex,8,Server,10,80,3
6/14/2021,Mon,Alex,9,Server,10,90,17.33333333
6/14/2021,Mon,John,7,Server,10,70,52
6/15/2021,Tue,John,8,Server,10,80,39
6/15/2021,Tue,John,6,Server,10,60,64.33333333
6/16/2021,Wed,Amy,9,Server,10,90,38
6/16/2021,Wed,Sally,9,Server,10,90,43.33333333
6/17/2021,Thu,Alex,7,Server,10,70,67.66666667
6/17/2021,Thu,Sally,6,Server,10,60,2.333333333
,,,,,,,
,,,,,,,
