Date,Day,Name,Hours,Role,Rate,Total,Tips
8/26/2022,Fri,Amy,9,Server,10,90,33.66666667
8/26/2022,Fri,Sally,9,Server,10,90,37.33333333
8/27/2022,Sat,Alex,7,Server,10,70,55
8/27/2022,Sat,Amy,7,Server,10,70,41.33333333
8/28/2022,Sun,John,7,Server,10,70,21.33333333
8/28/2022,Sun,Amy,8,Server,10,80,16
8/29/2022,Mon,Sally,6,Server,10,60,37.33333333
8/29/2022,Mon,Amy,6,Server,10,60,62.66666667
8/30/2022,Tue,Kevin,7,Server,10,70,26.66666667
8/30/2022,Tue,Sally,8,Server,10,80,69.66666667
8/31/2022,Wed,Kevin,7,Server,10,70,66.66666667
8/31/2022,Wed,Sally,9,Server,10,90,56
9/1/2022,Thu,John,6,Server,10,60,56.33333333
9/1/2022,Thu,Kevin,7,Server,10,70,59.33333333
9/2/2022,Fri,Sally,7,Server,10,70,0.666666667
9/2/2022,Fri,Amy,7,Server,10,70,46.33333333
9/3/2022,Sat,John,7,Server,10,70,56
9/3/2022,Sat,John,9,Server,10,90,31.33333333
9/4/2022,Sun,Kevin,8,Server,10,80,3.666666667
9/4/2022,Sun,Sally,8,Server,10,80,1
9/5/2022,Mon,John,8,Server,10,80,36
9/5/2022,Mon,Kevin,8,Server,10,80,54.33333333
9/6/2022,Tue,Kevin,8,Server,10,80,37.66666667
9/6/2022,Tue,Sally,7,Server,10,70,14.66666667
9/7/2022,Wed,Alex,9,Server,10,90,22.33333333
9/7/2022,Wed,John,9,Server,10,90,9
9/8/2022,Thu,Sally,9,Server,10,90,34.66666667
9/8/2022,Thu,Alex,8,Server,10,80,57
,,,,,,,
,,,,,,,
