Date,Day,Name,Hours,Role,Rate,Total,Tips
8/13/2021,Fri,John,8,Server,10,80,8.333333333
8/13/2021,Fri,Amy,8,Server,10,80,27.33333333
8/14/2021,Sat,Amy,7,Server,10,70,64
8/14/2021,Sat,Sally,8,Server,10,80,23.66666667
8/15/2021,Sun,Sally,8,Server,10,80,24.33333333
8/15/2021,Sun,Alex,7,Server,10,70,3
8/16/2021,Mon,John,6,Server,10,60,0.333333333
8/16/2021,Mon,Sally,8,Server,10,80,6.666666667
8/17/2021,Tue,Alex,9,Server,10,90,59.33333333
8/17/2021,Tue,Alex,9,Server,10,90,54.66666667
8/18/2021,Wed,Kevin,7,Server,10,70,12.66666667
8/18/2021,Wed,Amy,9,Server,10,90,68.66666667
8/19/2021,Thu,Alex,8,Server,10,80,33.66666667
8/19/2021,Thu,John,6,Server,10,60,34.66666667
8/20/2021,Fri,John,6,Server,10,60,66.33333333
8/20/2021,Fri,John,8,Server,10,80,30
8/21/2021,Sat,Alex,7,Server,10,70,66.66666667
8/21/2021,Sat,John,8,Server,10,80,41
8/22/2021,Sun,Sally,7,Server,10,70,53.33333333
8/22/2021,Sun,Kevin,6,Server,10,60,28.66666667
8/23/2021,Mon,Sally,7,Server,10,70,59
8/23/2021,Mon,Sally,8,Server,10,80,7
8/24/2021,Tue,John,7,Server,10,70,61
8/24/2021,Tue,Sally,9,Server,10,90,65.66666667
8/25/2021,Wed,Amy,6,Server,10,60,68
8/25/2021,Wed,John,9,Server,10,90,45.66666667
8/26/2021,Thu,Alex,8,Server,10,80,47.66666667
8/26/2021,Thu,John,9,Server,10,90,4.666666667
,,,,,,,
,,,,,,,
