Date,Day,Name,Hours,Role,Rate,Total,Tips
3/12/2021,Fri,Kevin,9,Server,10,90,26.66666667
3/12/2021,Fri,Kevin,6,Server,10,60,49.33333333
3/13/2021,Sat,John,6,Server,10,60,3.333333333
3/13/2021,Sat,Sally,6,Server,10,60,67.66666667
3/14/2021,Sun,Sally,8,Server,10,80,22.33333333
3/14/2021,Sun,Amy,7,Server,10,70,7.666666667
3/15/2021,Mon,Kevin,9,Server,10,90,67.66666667
3/15/2021,Mon,Kevin,7,Server,10,70,57.66666667
3/16/2021,Tue,Kevin,7,Server,10,70,46.33333333
3/16/2021,Tue,Amy,7,Server,10,70,62.66666667
3/17/2021,Wed,Alex,6,Server,10,60,6.333333333
3/17/2021,Wed,Sally,6,Server,10,60,32
3/18/2021,Thu,John,7,Server,10,70,54.66666667
3/18/2021,Thu,Alex,7,Server,10,70,26.33333333
3/19/2021,Fri,Amy,7,Server,10,70,15.33333333
3/19/2021,Fri,Kevin,8,Server,10,80,24
3/20/2021,Sat,Kevin,6,Server,10,60,49
3/20/2021,Sat,Kevin,6,Server,10,60,17.66666667
3/21/2021,Sun,Amy,7,Server,10,70,59.33333333
3/21/2021,Sun,Sally,6,Server,10,60,12.66666667
3/22/2021,Mon,Kevin,9,Server,10,90,12.66666667
3/22/2021,Mon,Sally,6,Server,10,60,59.66666667
3/23/2021,Tue,Amy,9,Server,10,90,69
3/23/2021,Tue,Kevin,7,Server,10,70,29
3/24/2021,Wed,Sally,8,Server,10,80,32
3/24/2021,Wed,Alex,9,Server,10,90,19
3/25/2021,Thu,Kevin,9,Server,10,90,20.33333333
3/25/2021,Thu,Kevin,9,Server,10,90,10
,,,,,,,
,,,,,,,
