Date,Day,Name,Hours,Role,Rate,Total,Tips
7/30/2021,Fri,Alex,7,Server,10,70,25
7/30/2021,Fri,John,8,Server,10,80,12
7/31/2021,Sat,Kevin,6,Server,10,60,66
7/31/2021,Sat,Kevin,9,Server,10,90,10
8/1/2021,Sun,Kevin,6,Server,10,60,52
8/1/2021,Sun,Amy,8,Server,10,80,31.33333333
8/2/2021,Mon,Kevin,9,Server,10,90,38
8/2/2021,Mon,Amy,6,Server,10,60,15
8/3/2021,Tue,Kevin,8,Server,10,80,8.333333333
8/3/2021,Tue,Amy,9,Server,10,90,46.33333333
8/4/2021,Wed,Amy,9,Server,10,90,21.66666667
8/4/2021,Wed,Kevin,8,Server,10,80,3.666666667
8/5/2021,Thu,Sally,6,Server,10,60,11
8/5/2021,Thu,Kevin,7,Server,10,70,65.33333333
8/6/2021,Fri,Amy,8,Server,10,80,64.66666667
8/6/2021,Fri,Amy,6,Server,10,60,54
8/7/2021,Sat,John,9,Server,10,90,33
8/7/2021,Sat,Alex,7,Server,10,70,69.33333333
8/8/2021,Sun,Alex,7,Server,10,70,31
8/8/2021,Sun,John,6,Server,10,60,35.66666667
8/9/2021,Mon,Alex,6,Server,10,60,33
8/9/2021,Mon,Alex,6,Server,10,60,8
8/10/2021,Tue,Sally,8,Server,10,80,29.66666667
8/10/2021,Tue,Kevin,9,Server,10,90,8.333333333
8/11/2021,Wed,Amy,9,Server,10,90,30.66666667
8/11/2021,Wed,Amy,7,Server,10,70,55.66666667
8/12/2021,Thu,Alex,6,Server,10,60,61.33333333
8/12/2021,Thu,Amy,9,Server,10,90,25.33333333
,,,,,,,
,,,,,,,
