Date,Day,Name,Hours,Role,Rate,Total,Tips
12/2/2022,Fri,John,7,Server,10,70,22.66666667
12/2/2022,Fri,Alex,6,Server,10,60,55
12/3/2022,Sat,Kevin,8,Server,10,80,10.66666667
12/3/2022,Sat,Sally,8,Server,10,80,64.33333333
12/4/2022,Sun,Alex,7,Server,10,70,9
12/4/2022,Sun,Sally,8,Server,10,80,7.333333333
12/5/2022,Mon,Kevin,7,Server,10,70,1.666666667
12/5/2022,Mon,Amy,8,Server,10,80,13
12/6/2022,Tue,Kevin,9,Server,10,90,14.33333333
12/6/2022,Tue,Kevin,8,Server,10,80,61.33333333
12/7/2022,Wed,Amy,8,Server,10,80,0
12/7/2022,Wed,Amy,8,Server,10,80,63
12/8/2022,Thu,Kevin,8,Server,10,80,57.66666667
12/8/2022,Thu,John,8,Server,10,80,16.33333333
12/9/2022,Fri,Kevin,6,Server,10,60,42.33333333
12/9/2022,Fri,Sally,7,Server,10,70,34
12/10/2022,Sat,Kevin,9,Server,10,90,70
12/10/2022,Sat,Amy,9,Server,10,90,52.33333333
12/11/2022,Sun,Sally,7,Server,10,70,60
12/11/2022,Sun,Amy,7,Server,10,70,56.66666667
12/12/2022,Mon,John,6,Server,10,60,52
12/12/2022,Mon,John,6,Server,10,60,36
12/13/2022,Tue,Kevin,9,Server,10,90,17.33333333
12/13/2022,Tue,Sally,6,Server,10,60,24.33333333
12/14/2022,Wed,Kevin,8,Server,10,80,34
12/14/2022,Wed,Sally,6,Server,10,60,8.333333333
12/15/2022,Thu,Amy,6,Server,10,60,46
12/15/2022,Thu,Amy,7,Server,10,70,59.66666667
,,,,,,,
,,,,,,,
