Date,Day,Name,Hours,Role,Rate,Total,Tips
12/17/2021,Fri,Sally,7,Server,10,70,46.33333333
12/17/2021,Fri,John,8,Server,10,80,51.66666667
12/18/2021,Sat,John,6,Server,10,60,4.666666667
12/18/2021,Sat,John,8,Server,10,80,31.66666667
12/19/2021,Sun,John,6,Server,10,60,64.66666667
12/19/2021,Sun,John,9,Server,10,90,0.333333333
12/20/2021,Mon,Kevin,9,Server,10,90,20.66666667
12/20/2021,Mon,John,8,Server,10,80,67
12/21/2021,Tue,Kevin,7,Server,10,70,25.33333333
12/21/2021,Tue,Alex,6,Server,10,60,46
12/22/2021,Wed,Amy,8,Server,10,80,3.333333333
12/22/2021,Wed,Kevin,6,Server,10,60,29.33333333
12/23/2021,Thu,Sally,9,Server,10,90,49.33333333
12/23/2021,Thu,Kevin,8,Server,10,80,22.33333333
12/24/2021,Fri,John,8,Server,10,80,66.33333333
12/24/2021,Fri,Sally,6,Server,10,60,27.66666667
12/25/2021,Sat,Alex,6,Server,10,60,4.666666667
12/25/2021,Sat,Kevin,7,Server,10,70,1.333333333
12/26/2021,Sun,Alex,8,Server,10,80,36.66666667
12/26/2021,Sun,Kevin,8,Server,10,80,50
12/27/2021,Mon,Sally,9,Server,10,90,7.333333333
12/27/2021,Mon,Sally,8,Server,10,80,25.33333333
12/28/2021,Tue,Amy,6,Server,10,60,1.333333333
12/28/2021,Tue,John,6,Server,10,60,5
12/29/2021,Wed,John,7,Server,10,70,43.66666667
12/29/2021,Wed,Amy,8,Server,10,80,68.33333333
12/30/2021,Thu,Amy,8,Server,10,80,43.66666667
12/30/2021,Thu,Amy,6,Server,10,60,26.33333333
,,,,,,,
,,,,,,,
