Date,Day,Name,Hours,Role,Rate,Total,Tips
12/3/2021,Fri,Sally,7,Server,10,70,24.33333333
12/3/2021,Fri,John,9,Server,10,90,42
12/4/2021,Sat,John,7,Server,10,70,45.33333333
12/4/2021,Sat,Sally,6,Server,10,60,44.33333333
12/5/2021,Sun,Amy,7,Server,10,70,33
12/5/2021,Sun,Alex,9,Server,10,90,43
12/6/2021,Mon,John,7,Server,10,70,6
12/6/2021,Mon,Alex,8,Server,10,80,66.33333333
12/7/2021,Tue,John,8,Server,10,80,25
12/7/2021,Tue,Sally,9,Server,10,90,3.666666667
12/8/2021,Wed,Kevin,8,Server,10,80,10
12/8/2021,Wed,Amy,6,Server,10,60,36
12/9/2021,Thu,Kevin,7,Server,10,70,52
12/9/2021,Thu,John,8,Server,10,80,16.66666667
12/10/2021,Fri,John,9,Server,10,90,69
12/10/2021,Fri,Sally,6,Server,10,60,33
12/11/2021,Sat,Kevin,6,Server,10,60,41.33333333
12/11/2021,Sat,John,8,Server,10,80,21.33333333
12/12/2021,Sun,Alex,9,Server,10,90,32.33333333
12/12/2021,Sun,John,6,Server,10,60,58
12/13/2021,Mon,Kevin,8,Server,10,80,52.66666667
12/13/2021,Mon,Sally,6,Server,10,60,47.66666667
12/14/2021,Tue,Amy,9,Server,10,90,30
12/14/2021,Tue,Amy,8,Server,10,80,9.333333333
12/15/2021,Wed,Alex,6,Server,10,60,6.333333333
12/15/2021,Wed,John,6,Server,10,60,7.333333333
12/16/2021,Thu,Kevin,9,Server,10,90,56.33333333
12/16/2021,Thu,Kevin,8,Server,10,80,42.33333333
,,,,,,,
,,,,,,,
