Date,Day,Name,Hours,Role,Rate,Total,Tips
8/27/2021,Fri,Amy,6,Server,10,60,61.66666667
8/27/2021,Fri,Alex,9,Server,10,90,41
8/28/2021,Sat,Kevin,7,Server,10,70,29.66666667
8/28/2021,Sat,Amy,6,Server,10,60,15.66666667
8/29/2021,Sun,John,7,Server,10,70,66.66666667
8/29/2021,Sun,Alex,9,Server,10,90,12
8/30/2021,Mon,Kevin,8,Server,10,80,56.66666667
8/30/2021,Mon,Kevin,9,Server,10,90,42.33333333
8/31/2021,Tue,Sally,6,Server,10,60,52
8/31/2021,Tue,Kevin,8,Server,10,80,47.66666667
9/1/2021,Wed,Alex,7,Server,10,70,64.66666667
9/1/2021,Wed,Kevin,9,Server,10,90,44.33333333
9/2/2021,Thu,John,9,Server,10,90,59.33333333
9/2/2021,Thu,John,6,Server,10,60,16.33333333
9/3/2021,Fri,Sally,6,Server,10,60,7.333333333
9/3/2021,Fri,John,6,Server,10,60,41
9/4/2021,Sat,Sally,8,Server,10,80,8
9/4/2021,Sat,Alex,8,Server,10,80,22.33333333
9/5/2021,Sun,Kevin,8,Server,10,80,49.66666667
9/5/2021,Sun,Amy,7,Server,10,70,0.666666667
9/6/2021,Mon,Amy,6,Server,10,60,57.33333333
9/6/2021,Mon,Amy,9,Server,10,90,2
9/7/2021,Tue,Alex,7,Server,10,70,70
9/7/2021,Tue,Kevin,6,Server,10,60,4.666666667
9/8/2021,Wed,Kevin,7,Server,10,70,40.66666667
9/8/2021,Wed,John,6,Server,10,60,40.66666667
9/9/2021,Thu,Alex,7,Server,10,70,39.33333333
9/9/2021,Thu,Alex,7,Server,10,70,30.33333333
,,,,,,,
,,,,,,,
